i,real_index,MAE,Phi,SMI
246,1803,0.22667490,77.33250955,NN=CCCO
247,7458,0.17586400,82.41359988,CC1CN=CNO1
248,8483,0.28813302,71.18669826,Nc1[nH]ncc1F
249,6922,0.18399761,81.60023917,Nc1cc(N)on1
250,6721,0.18716932,81.28306765,CC1CC=C(F)C1
251,1937,0.22538769,77.46123146,CNC=CC#N
252,811,0.21223081,78.77691868,CC(O)C(F)=C
253,1198,0.24649283,75.35071680,CCC(=C)C#C
254,8087,0.19336389,80.66361150,On1oncc1=O
255,5705,0.19686872,80.31312797,FC(C=O)C(F)=C
256,7316,0.24869794,75.13020588,NC(=O)CC1CN1
257,8608,0.21815904,78.18409572,OC1CC(O)C1F
258,7891,0.16928681,83.07131890,CC1COCC1=O
259,5269,0.21596894,78.40310587,CCC=C(C)C=C
260,1903,0.18717193,81.28280677,CCC=CCO
261,7413,0.20142361,79.85763914,N=C1NCCCN1
262,1229,0.32960775,67.03922512,O=CC(=O)C#C
263,1084,0.21927304,78.07269552,OC(C=C)C#C
264,1854,0.21926230,78.07377008,NN=CNN=C
265,1017,0.21269303,78.73069652,CCN(N)C=N
266,2321,0.23350612,76.64938843,CC(C)(N)CCN
267,7096,0.24137055,75.86294537,Nc1c[nH]c(N)n1
268,4539,0.20754740,79.24526048,ONC(=N)CC#C
269,2147,0.20762435,79.23756528,COC1CC1F
270,3754,0.19685089,80.31491128,CC1(O)C=NN=C1
271,5627,0.14680258,85.31974226,CNC(C)C(F)=C
272,3758,0.24954698,75.04530205,CC1C(N)C1(C)C
273,206,0.25834383,74.16561747,COC(N)=N
274,5648,0.19378921,80.62107891,CNN(C)C(N)=N
275,2061,0.23756447,76.24355265,CNCC1CC1
276,1698,0.21890120,78.10987978,OCCCC#N
277,105,0.42819302,57.18069833,NC1CC1
278,1742,0.22846211,77.15378906,CCOCC#N
279,7453,0.19345518,80.65448187,CC1CON=CN1
280,6061,0.21394427,78.60557329,NC(=O)C(=O)C=O
281,77,0.42568807,57.43119330,ONC=N
282,3011,0.17671124,82.32887629,CCOCC(C)=C
283,6740,0.24529210,75.47078994,CC1=CCC(=O)C1
284,6396,0.19694834,80.30516643,NCC1(N)CC1O
285,8232,0.17562057,82.43794281,CC1=COCC1N
286,4051,0.17474936,82.52506415,OCCC(F)C#N
287,4158,0.18442393,81.55760726,CN(CC#N)C=N
288,6346,0.14134268,85.86573193,NCCC1(F)CC1
