N_ele,N_states,sum_f_k
50,2166,40.5587
50,2071,40.5496
50,1976,40.7199
50,1976,40.5823
50,1881,40.749
50,1786,40.8938
50,2261,40.438
50,2166,40.4898
50,2071,40.5411
50,1976,40.6961
50,2071,40.5912
50,1976,40.6019
50,1881,40.7582
50,1881,40.6448
50,1786,40.7906
50,1691,40.9015
50,2166,40.5984
50,2071,40.6718
50,1976,40.7076
50,1881,40.8033
50,1976,40.694
50,1881,40.7584
50,1786,40.8463
50,1786,40.7496
50,1691,40.9269
50,1596,41.0224
50,2356,40.4465
50,2261,40.5231
50,2166,40.5569
50,2071,40.7057
50,2261,40.5829
50,2166,40.6689
50,2071,40.6804
50,1976,40.7852
50,2071,40.9153
50,2356,40.5638
48,2160,38.115
48,1980,38.1306
46,1802,35.9536
48,2070,38.2224
48,1980,38.2294
48,1800,38.2778
46,1632,36.0547
48,1890,38.4044
48,1710,38.4035
46,1547,36.1815
48,2070,38.242
48,1980,38.3234
48,1890,38.3534
48,1800,38.491
48,1980,38.2862
48,1800,38.2869
46,1632,36.0443
48,1890,38.307
48,1800,38.3426
48,1620,38.3653
46,1462,36.1344
48,1710,38.4786
48,1530,38.4927
46,1377,36.2625
48,1890,38.4137
48,1710,38.4361
46,1547,36.1834
48,1800,38.4687
48,1710,38.4722
48,1530,38.4774
46,1377,36.2736
48,1620,38.6246
48,1440,38.6341
46,1292,36.3993
48,2070,38.2943
48,1890,38.3234
46,1717,36.1105
48,1980,38.418
48,1800,38.4321
46,1632,36.2061
48,1980,38.4234
48,1890,38.4162
48,1890,38.3733
48,1800,38.4114
48,1800,38.3744
48,1710,38.4054
48,1980,38.3211
48,1890,38.4859
48,1800,38.4866
48,1800,38.5819
48,1710,38.5706
46,1887,36.0796
46,1802,36.1617
46,1717,36.1951
46,1632,36.3239
46,1802,36.1484
46,1717,36.2253
46,1632,36.2715
46,1547,36.3982
46,1717,36.1841
46,1632,36.2566
46,1547,36.2709
46,1462,36.4087
46,1632,36.3394
46,1547,36.4123
46,1462,36.4253
46,1377,36.5636
46,1802,36.2434
46,1717,36.3505
46,1887,35.9421
46,1717,35.9733
44,1552,33.7924
46,1547,36.0003
44,1392,33.7763
42,1245,31.591
46,1802,36.0517
46,1717,36.0518
46,1547,36.0656
44,1392,33.8918
46,1377,36.082
44,1232,33.8546
42,1095,31.6399
46,1632,36.1781
46,1462,36.1894
44,1312,34.0136
46,1292,36.1681
44,1152,33.9875
42,1020,31.761
46,1717,36.2128
46,1632,36.2483
46,1632,36.2271
46,1547,36.2694
46,1462,36.2813
46,1632,36.2404
46,1547,36.2055
46,1547,36.2425
46,1462,36.2095
46,1377,36.2228
46,1547,36.2191
46,1462,36.1859
46,1462,36.2195
46,1377,36.1869
46,1292,36.2294
46,1632,36.2251
46,1547,36.1467
44,1632,33.9287
44,1472,33.9106
42,1320,31.7332
44,1552,34.0009
44,1472,34.0351
44,1312,33.9993
42,1170,31.7918
44,1392,34.1642
44,1232,34.1274
42,1095,31.9235
42,1395,31.8662
42,1320,31.9245
42,1245,31.9247
42,1170,32.0699
48,2160,38.1474
48,2070,38.2033
48,1980,38.2657
48,1890,38.3696
48,1980,38.2803
48,1890,38.3462
48,1800,38.4413
48,1800,38.3638
48,1710,38.4524
48,1620,38.6254
48,1980,38.2131
48,1800,38.3063
48,1710,38.4372
48,1620,38.3773
48,1530,38.5195
48,1440,38.6245
48,1980,38.374
48,1890,38.3708
48,1800,38.3574
48,1890,38.4508
48,1710,38.3853
48,1800,38.4894
48,1710,38.4101
48,1620,38.3783
48,1710,38.615
48,1620,38.5349
48,1530,38.5218
48,1890,38.431
48,1800,38.4766
48,1710,38.4804
48,1800,38.4868
48,1620,38.4903
48,1710,38.5147
48,1620,38.4575
48,1530,38.4766
48,1620,38.6351
48,1530,38.6471
48,1440,38.6312
48,1980,38.4808
48,1890,38.5359
48,1800,38.5563
48,1710,38.6671
48,1800,38.4668
48,1710,38.5568
48,1620,38.5551
48,1530,38.6462
48,1890,38.5826
48,1800,38.5787
48,1710,38.5475
48,1710,38.5132
48,1620,38.5116
48,1530,38.4966
48,1800,38.6208
48,1710,38.6151
48,1620,38.6159
48,1620,38.595
48,1530,38.5645
48,1440,38.5839
48,1800,38.6696
48,1710,38.6667
48,1620,38.6629
48,1710,38.6677
48,1620,38.6745
48,1530,38.6414
48,1620,38.7255
46,1887,35.9985
46,1717,36.0093
44,1552,33.7652
46,1802,36.0792
46,1717,36.0454
46,1547,36.0745
44,1392,33.842
46,1632,36.2474
46,1462,36.2179
44,1312,33.9783
46,1717,36.0354
46,1547,36.0345
44,1392,33.7337
46,1547,36.1309
46,1377,36.1203
44,1232,33.8128
46,1462,36.2046
46,1292,36.1997
44,1152,33.9569
46,1717,36.1921
46,1547,36.2349
44,1392,33.9037
46,1632,36.135
46,1547,36.1183
46,1377,36.1688
44,1232,33.8489
46,1632,36.1919
46,1462,36.1994
44,1312,33.9402
46,1547,36.2246
46,1462,36.2039
46,1292,36.1958
44,1152,33.9258
46,1717,36.2549
46,1547,36.2478
44,1392,34.0367
46,1547,36.2375
46,1377,36.2349
44,1232,33.9752
44,1632,33.8899
44,1552,33.9577
44,1472,33.9595
44,1392,34.1101
44,1472,33.9011
44,1312,33.9959
44,1232,34.1184
44,1472,34.0675
44,1392,34.0793
44,1312,33.9984
44,1392,34.1001
44,1312,34.1465
44,1232,34.0863
44,1472,34.1859
44,1312,34.136
44,1632,33.8041
44,1472,33.7696
42,1320,31.5906
44,1312,33.7712
42,1170,31.5559
40,1036,29.3522
44,1472,33.7972
44,1312,33.7925
42,1170,31.593
44,1152,33.7666
42,1020,31.5293
40,896,29.3179
42,1395,31.6971
42,1245,31.668
40,1106,29.4706
42,1245,31.7409
42,1095,31.6843
40,966,29.4732
40,1176,29.5752
40,1036,29.616
48,2160,38.1821
48,1890,38.3565
48,2070,38.2742
48,1800,38.4438
48,1980,38.3094
48,1710,38.4931
48,1890,38.4543
48,1620,38.6203
48,1890,38.4467
48,1620,38.6373
48,1800,38.4847
48,1530,38.6672
48,1710,38.5019
48,1440,38.6381
48,1620,38.6166
48,1350,38.7867
48,1980,38.2341
48,1890,38.2003
48,1800,38.274
48,1800,38.3944
48,1710,38.3189
48,1710,38.4506
48,1620,38.4071
48,1980,38.4886
48,1890,38.4144
48,1800,38.4184
48,1800,38.4021
48,1710,38.4753
48,1620,38.4267
48,1980,38.4849
48,1710,38.6648
48,1800,38.4937
48,1710,38.4649
46,1887,36.0253
46,1632,36.1791
46,1717,36.0059
44,1552,33.782
46,1632,36.0984
44,1472,33.879
46,1462,36.1964
44,1312,33.9089
46,1632,36.1986
46,1377,36.3513
46,1462,36.1811
44,1312,33.9345
46,1377,36.297
44,1232,34.0541
46,1207,36.3367
44,1072,34.093
46,1717,36.0654
46,1632,36.0331
46,1462,36.0185
44,1312,33.7482
44,1632,33.9071
44,1392,34.0434
44,1392,34.0746
44,1152,34.2384
44,1472,33.9291
44,1392,33.8798
48,2160,37.88
48,2070,37.968
48,1980,38.0162
48,1890,38.1597
48,2070,37.9103
48,1980,37.9941
48,1890,38.0761
48,1800,38.2315
48,1980,37.9613
48,1890,38.053
48,1800,38.0601
48,1710,38.2497
48,1890,38.1402
48,1800,38.2403
48,1710,38.2395
48,1620,38.4242
48,2070,38.0494
48,1980,38.1657
48,2070,38.0003
48,1980,38.0707
48,1890,38.0886
48,1800,38.2049
48,1980,38.076
48,1890,38.1386
48,1800,38.1823
48,1710,38.2691
48,2160,37.8827
48,2070,37.9706
48,1980,37.9795
48,1890,38.1282
48,1980,38.0404
48,1890,38.0537
48,1800,38.2022
48,1800,38.0644
48,1710,38.2105
48,1620,38.3541
48,2070,38.0044
48,1980,38.1893
48,1890,38.1793
48,1800,38.3314
48,1980,38.1564
48,1890,38.2349
48,1800,38.2271
48,1710,38.3589
48,2070,38.102
46,1717,35.8584
46,1547,35.8962
46,1462,36.0376
46,1632,35.9865
46,1547,36.0527
46,1462,36.0306
46,1377,36.1644
46,1547,36.0103
46,1462,36.0768
46,1377,36.0685
46,1292,36.1805
46,1632,35.939
46,1547,36.0258
46,1632,36.0571
46,1547,36.0459
46,1462,35.9828
48,2160,37.9241
48,2070,38.018
48,1980,38.0649
48,1890,38.2313
48,2070,38.1337
48,1980,38.2016
48,1890,38.212
48,1800,38.3709
48,1980,38.1851
48,1890,38.2788
48,1800,38.2951
48,1710,38.4642
48,2070,38.0865
48,1980,38.1835
48,1800,38.4077
48,1800,38.3929
48,2070,38.2236
46,1887,35.7349
46,1717,35.8029
46,1802,35.8817
46,1632,35.9514
46,1717,35.9676
46,1547,36.0365
46,1717,35.9106
46,1632,35.9734
46,1632,35.9931
46,1547,36.0625
46,1547,36.062
46,1462,36.1527
46,1717,35.9917
46,1547,36.0499
46,1547,36.1711
46,1377,36.2272
46,1632,36.0742
46,1547,36.11
46,1547,36.1882
46,1462,36.2016
46,1377,36.2989
46,1292,36.3369
46,1377,36.2708
46,1887,35.7159
46,1802,35.8181
46,1717,35.7953
46,1632,35.9777
46,1717,35.8096
46,1717,35.9139
46,1717,35.9398
46,1632,35.9144
46,1547,36.0893
46,1462,36.0927
46,1802,35.9391
44,1632,33.5562
44,1472,33.6191
44,1472,33.7044
44,1392,33.7726
44,1392,33.6584
44,1312,33.7283
44,1472,33.7276
44,1392,33.728
44,1312,33.7968
44,1472,33.7468
44,1312,33.8105
44,1232,33.7471
44,1392,33.8333
44,1312,33.8554
44,1312,33.8088
44,1232,33.8885
44,1232,33.7027
44,1152,33.7219
44,1312,33.9041
